id,nombre,precio,categoria,stock
91,Hoodie Essentials Arena,49.67,Hoodies,42
92,Hoodie Minimalista Negro,51.04,Hoodies,41
93,Hoodie Zip Up Gris,52.41,Hoodies,37
94,Hoodie Boxy Fit Negro,53.78,Hoodies,20
95,Hoodie Acid Wash,55.15,Hoodies,50
96,Hoodie Techwear Gris,56.52,Hoodies,24
97,Hoodie Urban Blue,57.89,Hoodies,45
98,Hoodie Retro Purple,59.26,Hoodies,14
99,Hoodie College Green,60.63,Hoodies,22
100,Hoodie Monocromatico,62.0,Hoodies,10
101,Chaqueta Denim Azul Claro,63.37,Chaquetas,6
102,Chaqueta Denim Negra,64.74,Chaquetas,46
103,Chaqueta Bomber Negra,66.11,Chaquetas,28
104,Chaqueta Bomber Verde,67.48,Chaquetas,45
105,Chaqueta Cuero Negra,68.85,Chaquetas,16
106,Chaqueta Varsity Roja,70.22,Chaquetas,32
107,Chaqueta Varsity Negra,71.59,Chaquetas,44
108,Chaqueta Oversize Beige,72.96,Chaquetas,9
109,Chaqueta Oversize Gris,74.33,Chaquetas,32
110,Chaqueta Impermeable Negra,75.7,Chaquetas,44
111,Chaqueta Puffer Blanca,77.07,Chaquetas,14
112,Chaqueta Puffer Negra,78.44,Chaquetas,36
113,Chaqueta Streetwear Verde,79.81,Chaquetas,13
114,Chaqueta Techwear Gris,81.18,Chaquetas,19
115,Chaqueta Vintage Denim,82.55,Chaquetas,14
116,Chaqueta Cargo Negra,83.92,Chaquetas,34
117,Chaqueta Casual Cafe,85.29,Chaquetas,15
118,Chaqueta Utility Beige,86.66,Chaquetas,19
119,Chaqueta Windbreaker Azul,88.03,Chaquetas,29
120,Chaqueta Urban Black,89.4,Chaquetas,9
121,Short Deportivo Negro,90.77,Shorts,38
122,Short Deportivo Gris,92.14,Shorts,40
123,Short Baggy Negro,93.51,Shorts,49
124,Short Baggy Beige,94.88,Shorts,29
125,Short Cargo Verde,96.25,Shorts,21
126,Short Running Azul,97.62,Shorts,6
127,Short Basketball Rojo,98.99,Shorts,41
128,Short Streetwear Negro,100.36,Shorts,40
129,Short Casual Azul,101.73,Shorts,47
130,Short Casual Blanco,103.1,Shorts,46
131,Short Vintage Denim,104.47,Shorts,19
132,Short Loose Fit Gris,15.84,Shorts,6
133,Short Oversize Beige,17.21,Shorts,36
134,Short Skate Negro,18.58,Shorts,34
135,Short Techwear Verde,19.95,Shorts,16
136,Short Urban Gray,21.32,Shorts,12
137,Short Minimalista Blanco,22.69,Shorts,34
138,Short Monocromatico Negro,24.06,Shorts,11
139,Short Acid Wash,25.43,Shorts,9
140,Short Cargo Gris,26.8,Shorts,29
141,Gorra Negra,28.17,Accesorios,50
142,Gorra Blanca,29.54,Accesorios,36
143,Gorra Roja,30.91,Accesorios,19
144,Gorra Azul,32.28,Accesorios,22
145,Beanie Negro,33.65,Accesorios,5
146,Beanie Gris,35.02,Accesorios,35
147,Beanie Blanco,36.39,Accesorios,8
148,Cinturon Negro,37.76,Accesorios,8
149,Cinturon Marron,39.13,Accesorios,28
150,Cadena Plateada,40.5,Accesorios,48
151,Cadena Dorada,41.87,Accesorios,46
152,Pulsera Cuero Negra,43.24,Accesorios,37
153,Pulsera Acero,44.61,Accesorios,46
154,Lentes Vintage,45.98,Accesorios,28
155,Lentes Urbanos,47.35,Accesorios,16
156,Mochila Streetwear,48.72,Accesorios,27
157,Bolso Crossbody Negro,50.09,Accesorios,27
158,Riñonera Gris,51.46,Accesorios,46
159,Medias Blancas,52.83,Accesorios,46
160,Medias Negras,54.2,Accesorios,40
161,Zapatillas Urbanas Blancas,55.57,Calzado,45
162,Zapatillas Urbanas Negras,56.94,Calzado,43
163,Zapatillas Running Azul,58.31,Calzado,28
164,Zapatillas Running Rojas,59.68,Calzado,6
165,Converse Negras,61.05,Calzado,16
166,Converse Blancas,62.42,Calzado,48
167,Botas Urbanas Cafe,63.79,Calzado,16
168,Botas Urbanas Negras,65.16,Calzado,22
169,Zapatos Casuales Beige,66.53,Calzado,7
170,Zapatos Formales Negros,67.9,Calzado,11
171,Sneakers Retro Gris,69.27,Calzado,27
172,Sneakers Chunky Blancos,70.64,Calzado,16
173,Sneakers Streetwear Negros,72.01,Calzado,19
174,Sneakers Minimalistas,73.38,Calzado,12
175,Sneakers Skate Azules,74.75,Calzado,26
176,Sneakers Vintage Rojos,76.12,Calzado,28
177,Tenis Deportivos Blancos,77.49,Calzado,14
178,Tenis Deportivos Negros,78.86,Calzado,50
179,Zapatillas Techwear,80.23,Calzado,6
180,Zapatillas High Top,81.6,Calzado,20
181,Polo Oversize Negro,25.71,Ropa Urbana,48
182,Sudadera Vintage Blanco,27.62,Ropa Urbana,30
183,Tank Top Streetwear Azul,29.53,Ropa Urbana,21
184,Conjunto Minimalista Rojo,31.44,Ropa Urbana,25
185,Chompa Graphic Verde,33.35,Ropa Urbana,16
186,Polo Acid Wash Gris,35.26,Ropa Urbana,15
187,Sudadera Boxy Fit Beige,37.17,Ropa Urbana,31
188,Tank Top Loose Fit Cafe,39.08,Ropa Urbana,13
189,Conjunto Urban Morado,40.99,Ropa Urbana,8
190,Chompa Retro Celeste,42.9,Ropa Urbana,12
191,Polo Oversize Rojo,44.81,Ropa Urbana,27
192,Sudadera Vintage Verde,46.72,Ropa Urbana,39
193,Tank Top Streetwear Gris,48.63,Ropa Urbana,27
194,Conjunto Minimalista Beige,50.54,Ropa Urbana,10
195,Chompa Graphic Cafe,52.45,Ropa Urbana,42
196,Polo Acid Wash Morado,54.36,Ropa Urbana,50
197,Sudadera Boxy Fit Celeste,56.27,Ropa Urbana,17
198,Tank Top Loose Fit Color191,58.18,Ropa Urbana,21
199,Conjunto Urban Negro,60.09,Ropa Urbana,35
200,Chompa Retro Blanco,62.0,Ropa Urbana,5
